Cs-137,8.60E-09,1.40E-08,9.20E-08,2.00E-03,1.60E-02
Cs-138,3.10E-11,9.10E-11,4.45E-07,1.00E-03,1.60E-02
Cu-60,2.00E-11,6.70E-11,5.96E-07,1.00E-03,1.60E-02
Cu-61,4.90E-11,1.10E-10,1.28E-07,9.00E-04,1.60E-02
Cu-62,5.60E-10,9.50E-10,3.19E-07,1.00E-03,1.60E-02
Cu-64,7.60E-11,1.30E-10,3.00E-08,9.00E-04,1.60E-02
Cu-66,2.60E-09,4.30E-09,3.90E-08,2.00E-03,1.60E-02
Cu-67,3.70E-10,4.40E-10,1.80E-08,1.00E-03,1.60E-02
Dy-155,5.70E-11,1.30E-10,9.40E-08,1.00E-04,1.60E-02
Dy-157,1.90E-11,6.60E-11,6.50E-08,4.00E-05,1.60E-02
Dy-159,5.60E-10,1.40E-10,1.50E-08,1.00E-05,1.60E-02
Dy-165,3.50E-11,8.80E-11,5.00E-09,1.00E-03,1.60E-02
Dy-166,2.40E-09,2.70E-09,1.00E-08,1.00E-03,1.60E-02
Er-161,2.20E-11,7.70E-11,1.39E-07,4.00E-04,1.60E-02
Er-165,7.50E-12,2.20E-11,1.10E-08,7.00E-06,1.60E-02
Er-169,6.00E-10,5.80E-10,1.00E-09,1.00E-03,1.60E-02
Er-171,1.50E-10,4.10E-10,6.40E-08,2.00E-03,1.60E-02
Er-172,1.30E-09,1.50E-09,8.40E-08,1.00E-03,1.60E-02
Es-250,7.30E-10,2.20E-11,7.10E-08,2.00E-05,1.60E-02
Es-251,9.60E-10,2.30E-10,2.80E-08,2.00E-04,1.60E-02
Es-253,9.30E-07,9.90E-09,1.00E-09,1.00E-06,1.60E-02
Es-254,7.10E-06,5.30E-06,2.10E-08,6.00E-06,1.60E-02
Es-254m,1.30E-07,6.10E-09,7.70E-08,1.00E-03,1.60E-02
Eu-145,7.40E-10,8.90E-10,2.17E-07,6.00E-05,1.60E-02
Eu-146,1.50E-09,1.50E-09,3.75E-07,1.00E-04,1.60E-02
Eu-147,9.50E-10,5.90E-10,8.50E-08,3.00E-04,1.60E-02
Eu-148,3.70E-09,1.50E-09,3.27E-07,7.00E-05,1.60E-02
Eu-149,4.70E-10,1.40E-10,1.80E-08,2.00E-05,1.60E-02
Eu-150,1.90E-10,4.30E-10,8.00E-09,1.00E-03,1.60E-02
Eu-150m,5.60E-08,1.70E-09,2.38E-07,1.00E-04,1.60E-02
Eu-152,4.60E-08,1.90E-09,1.79E-07,7.00E-04,1.60E-02
Eu-152m1,2.20E-10,5.20E-10,4.70E-08,9.00E-04,1.60E-02
Eu-152m2,2.20E-10,5.20E-10,4.70E-08,9.00E-04,1.60E-02
Eu-154,5.80E-08,3.00E-09,1.85E-07,2.00E-03,1.60E-02
Eu-155,7.60E-09,5.00E-10,1.20E-08,2.00E-04,1.60E-02
Eu-156,4.00E-09,3.20E-09,1.88E-07,1.00E-03,1.60E-02
